id,text,county,created_at,sentiment_score,sentiment_label,keywords,retweet_count,favorite_count,source_type,username,location,title,source,url,health_relevance_score,interest_score,keyword,geo_location,disease_type,outbreak_status,case_count,date,outbreak_occurred,health_relevance_score_computed,is_recent,is_weekend,text_length,word_count,has_county,is_social_media,is_news,is_official,engagement_score,high_engagement
1,"Feeling terrible - weakness, weakness and weakness. Hope it's not measles",kisii,2025-10-02 04:42:32.197203,-0.2125360888730976,negative,[],20,57,twitter,user1695,"Kisii, Kenya",,,,,0.0,,,,,,2025-10-02,0,0.0,False,False,73,11,1,1,0,0,77,0
2,Is there a pneumonia outbreak? Hearing lots of cases in Garissa,kericho,2025-09-26 16:42:32.272921,-0.2944377978150773,negative,[],11,8,twitter,user5804,"Kericho, Kenya",,,,,0.0,,,,,,2025-09-26,0,0.2307692307692307,False,False,63,11,1,1,0,0,19,0
3,Is there a tuberculosis outbreak? Hearing lots of cases in Nakuru,kilifi,2025-09-14 15:36:32.296670,-0.2232287323543541,negative,[],3,52,twitter,user6728,"Kilifi, Kenya",,,,,0.0,,,,,,2025-09-14,0,0.2307692307692307,False,True,65,11,1,1,0,0,55,0
4,Experiencing cough and cough. Could this be flu? #health #Kenya,machakos,2025-08-23 05:12:32.298111,-0.1546432036944847,negative,[],23,81,twitter,user5048,"Machakos, Kenya",,,,,0.0,,,,,,2025-08-23,0,0.2307692307692307,False,True,63,10,1,1,0,0,104,1
5,"Feeling terrible - chills, chills and chills. Hope it's not malaria",machakos,2025-09-07 02:41:32.298111,-0.1581928569423229,negative,[],43,36,twitter,user8895,"Machakos, Kenya",,,,,0.0,,,,,,2025-09-07,0,0.1538461538461538,False,True,67,11,1,1,0,0,79,1
6,"Feeling terrible - sweating, sweating and sweating. Hope it's not malaria",nairobi,2025-08-08 11:50:32.298111,-0.1996420059240666,negative,[],39,99,twitter,user4788,"Nairobi, Kenya",,,,,0.0,,,,,,2025-08-08,0,0.1538461538461538,False,False,73,11,1,1,0,0,138,1
7,PSA: Get checked if you have vomiting. yellow fever is spreading in Meru,eldoret,2025-07-19 15:31:32.298111,-0.1217953343996433,negative,[],9,16,twitter,user5447,"Eldoret, Kenya",,,,,0.0,,,,,,2025-07-19,0,0.1538461538461538,False,True,72,13,1,1,0,0,25,0
8,Is there a influenza outbreak? Hearing lots of cases in Meru,busia,2025-08-18 09:28:32.298111,-0.2416875320840037,negative,[],49,88,twitter,user5108,"Busia, Kenya",,,,,0.0,,,,,,2025-08-18,0,0.3846153846153846,False,False,60,11,1,1,0,0,137,1
9,Busia residents reporting sweating. Any idea what's going on?,bungoma,2025-07-14 12:09:32.298111,-0.2556205269427192,negative,[],25,30,twitter,user1916,"Bungoma, Kenya",,,,,0.0,,,,,,2025-07-14,0,0.0,False,False,61,9,1,1,0,0,55,0
10,Kisumu residents reporting weakness. Any idea what's going on?,machakos,2025-08-01 04:14:32.298111,-0.2682847331784033,negative,[],33,60,twitter,user6992,"Machakos, Kenya",,,,,0.0,,,,,,2025-08-01,0,0.0,False,False,62,9,1,1,0,0,93,1
